Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.0000, 0.0000 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.0000, 0.0000 (deg)

Reference Coordinates: X =   2.879E-002 Y =  -9.035E-002
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.000781
          4.000	          0.010174
          6.000	          0.028192
          8.000	          0.053992
         10.000	          0.092214
         12.000	          0.135146
         14.000	          0.182543
         16.000	          0.234645
         18.000	          0.293583
         20.000	          0.354598
         22.000	          0.411825
         24.000	          0.470706
         26.000	          0.529443
         28.000	          0.588001
         30.000	          0.641687
         32.000	          0.695049
         34.000	          0.740980
         36.000	          0.780950
         38.000	          0.814493
         40.000	          0.847645
         42.000	          0.873333
         44.000	          0.896829
         46.000	          0.915558
         48.000	          0.933832
         50.000	          0.947808
         52.000	          0.960203
         54.000	          0.968533
         56.000	          0.976448
         58.000	          0.983051
         60.000	          0.987479
         62.000	          0.991311
         64.000	          0.993654
         66.000	          0.995640
         68.000	          0.996826
         70.000	          0.998238
         72.000	          0.998768
         74.000	          0.999301
         76.000	          0.999804
         78.000	          0.999935
         80.000	          0.999935
         82.000	          1.000000
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
