Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.1500, -0.1500 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.1500, -0.1500 (deg)

Reference Coordinates: X =  -1.564E+001 Y =   1.537E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.000678
          4.000	          0.011871
          6.000	          0.034945
          8.000	          0.070763
         10.000	          0.116184
         12.000	          0.170124
         14.000	          0.229632
         16.000	          0.293322
         18.000	          0.364938
         20.000	          0.429329
         22.000	          0.499258
         24.000	          0.561565
         26.000	          0.625609
         28.000	          0.679771
         30.000	          0.729065
         32.000	          0.776139
         34.000	          0.815280
         36.000	          0.848444
         38.000	          0.877210
         40.000	          0.904407
         42.000	          0.925050
         44.000	          0.940413
         46.000	          0.955153
         48.000	          0.966000
         50.000	          0.974808
         52.000	          0.981985
         54.000	          0.988053
         56.000	          0.991472
         58.000	          0.994529
         60.000	          0.996210
         62.000	          0.997455
         64.000	          0.998081
         66.000	          0.998793
         68.000	          0.999532
         70.000	          0.999967
         72.000	          1.000000
         74.000	          1.000000
         76.000	          1.000000
         78.000	          1.000000
         80.000	          1.000000
         82.000	          1.000000
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
