Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.2900, 0.0000 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.2900, 0.0000 (deg)

Reference Coordinates: X =  -3.056E+001 Y =  -7.808E-001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.000763
          4.000	          0.012613
          6.000	          0.038339
          8.000	          0.072799
         10.000	          0.122470
         12.000	          0.179472
         14.000	          0.240020
         16.000	          0.307702
         18.000	          0.378377
         20.000	          0.451996
         22.000	          0.520913
         24.000	          0.585915
         26.000	          0.644851
         28.000	          0.700172
         30.000	          0.747164
         32.000	          0.794091
         34.000	          0.833997
         36.000	          0.865425
         38.000	          0.893340
         40.000	          0.916637
         42.000	          0.935108
         44.000	          0.951327
         46.000	          0.962533
         48.000	          0.971623
         50.000	          0.980204
         52.000	          0.986013
         54.000	          0.991416
         56.000	          0.994695
         58.000	          0.996957
         60.000	          0.998136
         62.000	          0.999154
         64.000	          0.999643
         66.000	          0.999908
         68.000	          1.000000
         70.000	          1.000000
         72.000	          1.000000
         74.000	          1.000000
         76.000	          1.000000
         78.000	          1.000000
         80.000	          1.000000
         82.000	          1.000000
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
