Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.0000, 0.2900 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.0000, 0.2900 (deg)

Reference Coordinates: X =  -2.930E-001 Y =  -3.078E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.000533
          4.000	          0.012053
          6.000	          0.034808
          8.000	          0.073168
         10.000	          0.118655
         12.000	          0.172317
         14.000	          0.232103
         16.000	          0.296788
         18.000	          0.367829
         20.000	          0.431268
         22.000	          0.498004
         24.000	          0.563999
         26.000	          0.624536
         28.000	          0.678314
         30.000	          0.733386
         32.000	          0.778282
         34.000	          0.817356
         36.000	          0.848565
         38.000	          0.878224
         40.000	          0.903597
         42.000	          0.921826
         44.000	          0.937547
         46.000	          0.953017
         48.000	          0.964401
         50.000	          0.972959
         52.000	          0.978948
         54.000	          0.984464
         56.000	          0.988651
         58.000	          0.992319
         60.000	          0.994942
         62.000	          0.996962
         64.000	          0.997565
         66.000	          0.998200
         68.000	          0.998524
         70.000	          0.998942
         72.000	          0.999352
         74.000	          0.999483
         76.000	          0.999640
         78.000	          0.999919
         80.000	          0.999919
         82.000	          1.000000
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
