Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: -0.2900, 0.0000 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: -0.2900, 0.0000 (deg)

Reference Coordinates: X =   3.061E+001 Y =   5.726E-001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.001147
          4.000	          0.010384
          6.000	          0.030652
          8.000	          0.061440
         10.000	          0.100490
         12.000	          0.149526
         14.000	          0.202035
         16.000	          0.261258
         18.000	          0.324507
         20.000	          0.383958
         22.000	          0.450208
         24.000	          0.512846
         26.000	          0.570413
         28.000	          0.626956
         30.000	          0.678889
         32.000	          0.725356
         34.000	          0.770011
         36.000	          0.805842
         38.000	          0.838670
         40.000	          0.869137
         42.000	          0.893399
         44.000	          0.915309
         46.000	          0.931475
         48.000	          0.946383
         50.000	          0.957802
         52.000	          0.967449
         54.000	          0.975457
         56.000	          0.982008
         58.000	          0.986105
         60.000	          0.989073
         62.000	          0.992299
         64.000	          0.995759
         66.000	          0.997119
         68.000	          0.998338
         70.000	          0.998857
         72.000	          0.999146
         74.000	          0.999633
         76.000	          0.999825
         78.000	          0.999841
         80.000	          0.999921
         82.000	          0.999971
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
