Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.0000, -0.2900 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.0000, -0.2900 (deg)

Reference Coordinates: X =   3.363E-001 Y =   3.042E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.001136
          4.000	          0.013362
          6.000	          0.037272
          8.000	          0.075119
         10.000	          0.116190
         12.000	          0.170833
         14.000	          0.230348
         16.000	          0.296902
         18.000	          0.363559
         20.000	          0.436375
         22.000	          0.503480
         24.000	          0.569240
         26.000	          0.624809
         28.000	          0.683321
         30.000	          0.728491
         32.000	          0.774003
         34.000	          0.811635
         36.000	          0.846461
         38.000	          0.876371
         40.000	          0.900708
         42.000	          0.920045
         44.000	          0.935177
         46.000	          0.951582
         48.000	          0.963543
         50.000	          0.971695
         52.000	          0.979729
         54.000	          0.985735
         56.000	          0.990308
         58.000	          0.992586
         60.000	          0.994903
         62.000	          0.996474
         64.000	          0.997555
         66.000	          0.998213
         68.000	          0.998654
         70.000	          0.998914
         72.000	          0.999283
         74.000	          0.999694
         76.000	          0.999945
         78.000	          1.000000
         80.000	          1.000000
         82.000	          1.000000
         84.000	          1.000000
         86.000	          1.000000
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
