Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: 0.2900, 0.2900 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: 0.2900, 0.2900 (deg)

Reference Coordinates: X =  -3.077E+001 Y =  -3.138E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.000875
          4.000	          0.013020
          6.000	          0.035054
          8.000	          0.068015
         10.000	          0.109155
         12.000	          0.164035
         14.000	          0.219427
         16.000	          0.279705
         18.000	          0.341998
         20.000	          0.410612
         22.000	          0.473736
         24.000	          0.538242
         26.000	          0.594020
         28.000	          0.649544
         30.000	          0.698644
         32.000	          0.745175
         34.000	          0.785420
         36.000	          0.820632
         38.000	          0.850638
         40.000	          0.877873
         42.000	          0.897931
         44.000	          0.916728
         46.000	          0.931982
         48.000	          0.946107
         50.000	          0.957463
         52.000	          0.968582
         54.000	          0.975510
         56.000	          0.981201
         58.000	          0.986481
         60.000	          0.989482
         62.000	          0.991728
         64.000	          0.994034
         66.000	          0.996176
         68.000	          0.997097
         70.000	          0.998167
         72.000	          0.998584
         74.000	          0.998626
         76.000	          0.999078
         78.000	          0.999355
         80.000	          0.999705
         82.000	          0.999837
         84.000	          0.999926
         86.000	          0.999926
         88.000	          0.999926
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
