Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: -0.2900, 0.2900 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: -0.2900, 0.2900 (deg)

Reference Coordinates: X =   3.021E+001 Y =  -3.000E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.001103
          4.000	          0.011649
          6.000	          0.031648
          8.000	          0.061304
         10.000	          0.097526
         12.000	          0.141826
         14.000	          0.194847
         16.000	          0.256355
         18.000	          0.314504
         20.000	          0.376429
         22.000	          0.438243
         24.000	          0.499200
         26.000	          0.555425
         28.000	          0.607592
         30.000	          0.659224
         32.000	          0.707884
         34.000	          0.749670
         36.000	          0.788986
         38.000	          0.819452
         40.000	          0.848788
         42.000	          0.875857
         44.000	          0.898349
         46.000	          0.916932
         48.000	          0.931801
         50.000	          0.943630
         52.000	          0.956184
         54.000	          0.964666
         56.000	          0.971440
         58.000	          0.977128
         60.000	          0.981163
         62.000	          0.984021
         64.000	          0.987775
         66.000	          0.990820
         68.000	          0.992949
         70.000	          0.995068
         72.000	          0.996416
         74.000	          0.996946
         76.000	          0.997706
         78.000	          0.998328
         80.000	          0.998951
         82.000	          0.999168
         84.000	          0.999421
         86.000	          0.999571
         88.000	          0.999822
         90.000	          0.999916
         92.000	          0.999916
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
