Extended Source Geometric Ensquared Energy

File : C:\Users\user\Dropbox\WALOP_Design\Draft_1\3_inch_Pupil\Telescope_WFNO_16\Camera_7l\Camera_Main_Both_Beams.zmx
Title: 
Date : 25-06-2018
Configuration 2 of 2

Surface: Image
Wavelength: Polychromatic
Object field: -0.2900, -0.2900 (deg)
Reference: Centroid
Reference coordinate units are Millimeters
Distance units are µm.

Field: -0.2900, -0.2900 (deg)

Reference Coordinates: X =   3.080E+001 Y =   3.095E+001
        Half width	          Fraction
          0.000	          0.000000
          2.000	          0.001708
          4.000	          0.011276
          6.000	          0.031753
          8.000	          0.063994
         10.000	          0.103753
         12.000	          0.154603
         14.000	          0.209382
         16.000	          0.266402
         18.000	          0.326198
         20.000	          0.393244
         22.000	          0.455968
         24.000	          0.517919
         26.000	          0.576302
         28.000	          0.628607
         30.000	          0.683175
         32.000	          0.727372
         34.000	          0.768541
         36.000	          0.801752
         38.000	          0.833806
         40.000	          0.863059
         42.000	          0.886926
         44.000	          0.907898
         46.000	          0.925622
         48.000	          0.940949
         50.000	          0.953815
         52.000	          0.964306
         54.000	          0.972418
         56.000	          0.978869
         58.000	          0.984369
         60.000	          0.987349
         62.000	          0.990345
         64.000	          0.992797
         66.000	          0.995171
         68.000	          0.996712
         70.000	          0.997622
         72.000	          0.998146
         74.000	          0.998873
         76.000	          0.999212
         78.000	          0.999527
         80.000	          0.999694
         82.000	          0.999926
         84.000	          0.999927
         86.000	          0.999998
         88.000	          1.000000
         90.000	          1.000000
         92.000	          1.000000
         94.000	          1.000000
         96.000	          1.000000
         98.000	          1.000000
        100.000	          1.000000
        102.000	          1.000000
        104.000	          1.000000
        106.000	          1.000000
        108.000	          1.000000
        110.000	          1.000000
        112.000	          1.000000
        114.000	          1.000000
        116.000	          1.000000
        118.000	          1.000000
        120.000	          1.000000
